Limestone Creek,Big Wills Creek,Big Nace Creek,Flint River,Pinhook Creek,Tennessee River at Decature,Tennessee River at Florence,Aldridge Creek,Tennessee River below Guntersville Dam,Tennessee River above Guntersville Dam,Indian Creek,Bear Creek,Tennessee River near Scottsboro,Aldridge Creek at Sherwood Drive in Huntsville,Aldridge Creek at Toney Drive in Huntsville,Paint Rock River,Tennessee River at Whitesburg
34.75166667,34.67,34.67,34.74916667,34.73027778,34.61138889,34.78694444,34.62388889,34.42138889,34.4217,34.69722222,34.44388889,34.64361111,34.66416667,34.69805556,34.62416667,34.57166667
-86.82305556,-87.76722222,-87.31722222,-86.44666667,-86.5933333,-86.97527778,-87.67,-86.54111111,-86.39388889,-86.3927,-86.69972222,-88.11555556,-85.98027778,-86.55416667,-86.55055556,-86.30638889,-86.55805556
